Date,MinMax_Feature
01-Jan-2009,0.015371669004207625
02-Jan-2009,0.07035063113604494
05-Jan-2009,0.04230014025245447
06-Jan-2009,0.08718092566619921
07-Jan-2009,0.07725105189340829
09-Jan-2009,0.09402524544179518
12-Jan-2009,0.05537166900420773
13-Jan-2009,0.08712482468443208
14-Jan-2009,0.13823281907433385
15-Jan-2009,0.17694249649368868
16-Jan-2009,0.17469845722300145
19-Jan-2009,0.18479663394109402
20-Jan-2009,0.1545021037868163
21-Jan-2009,0.14440392706872376
22-Jan-2009,0.14889200561009822
23-Jan-2009,0.12084151472650777
27-Jan-2009,0.13093969144460033
28-Jan-2009,0.18030855539971954
29-Jan-2009,0.21060308555399723
30-Jan-2009,0.22294530154277706
02-Feb-2009,0.21284712482468449
03-Feb-2009,0.20611500701262278
04-Feb-2009,0.20499298737727914
05-Feb-2009,0.20611500701262278
06-Feb-2009,0.1757082748948108
09-Feb-2009,0.18591865357643764
10-Feb-2009,0.2380925666199159
11-Feb-2009,0.21060308555399723
12-Feb-2009,0.21621318373071532
13-Feb-2009,0.18810659186535775
16-Feb-2009,0.17688639551192156
17-Feb-2009,0.11859747545582053
18-Feb-2009,0.08549789621318378
19-Feb-2009,0.08157082748948112
20-Feb-2009,0.0984011220196354
24-Feb-2009,0.059130434782608744
25-Feb-2009,0.10064516129032264
26-Feb-2009,0.11410939691444605
27-Feb-2009,0.14070126227208987
02-Mar-2009,0.1298176718092567
03-Mar-2009,0.11635343618513329
04-Mar-2009,0.1107433380084152
05-Mar-2009,0.11523141654978968
06-Mar-2009,0.08942496493688645
09-Mar-2009,0.11534361851332393
12-Mar-2009,0.12319775596072927
13-Mar-2009,0.16504908835904644
16-Mar-2009,0.22518934081346428
17-Mar-2009,0.20387096774193553
18-Mar-2009,0.18255259467040677
19-Mar-2009,0.20499298737727914
20-Mar-2009,0.24807854137447422
23-Mar-2009,0.2220476858345022
24-Mar-2009,0.2723141654978963
25-Mar-2009,0.23556802244039277
26-Mar-2009,0.2723141654978963
27-Mar-2009,0.30597475455820483
30-Mar-2009,0.24426367461430581
31-Mar-2009,0.23304347826086963
01-Apr-2009,0.25677419354838726
02-Apr-2009,0.3295371669004208
06-Apr-2009,0.3825525946704068
08-Apr-2009,0.3228611500701262
09-Apr-2009,0.37329593267882194
13-Apr-2009,0.37329593267882194
15-Apr-2009,0.27568022440392714
16-Apr-2009,0.30260869565217396
17-Apr-2009,0.27792426367461437
20-Apr-2009,0.31725105189340813
21-Apr-2009,0.3104628330995793
22-Apr-2009,0.2913884992987378
23-Apr-2009,0.301654978962132
24-Apr-2009,0.3801402524544179
27-Apr-2009,0.3877699859747547
28-Apr-2009,0.36768583450210385
29-Apr-2009,0.37890603085554003
04-May-2009,0.46877980364656374
05-May-2009,0.5758765778401121
06-May-2009,0.5309396914446003
07-May-2009,0.5247685834502104
08-May-2009,0.5012061711079945
11-May-2009,0.4686676016830295
12-May-2009,0.45183730715287523
13-May-2009,0.5587096774193548
14-May-2009,0.4911079943899019
15-May-2009,0.525890603085554
18-May-2009,0.6762412342215989
19-May-2009,0.6832538569424965
20-May-2009,0.511304347826087
21-May-2009,0.4697896213183731
22-May-2009,0.43500701262272096
25-May-2009,0.4798877980364657
26-May-2009,0.47326788218793825
27-May-2009,0.5157924263674615
28-May-2009,0.4659186535764376
29-May-2009,0.5458064516129033
01-Jun-2009,0.5756521739130435
02-Jun-2009,0.6704628330995792
03-Jun-2009,0.6574474053295933
04-Jun-2009,0.5974754558204769
05-Jun-2009,0.6167741935483871
08-Jun-2009,0.736113685511276
09-Jun-2009,0.7756564720420143
10-Jun-2009,0.8497991967871487
11-Jun-2009,0.9170219338894039
12-Jun-2009,0.813963546493667
15-Jun-2009,0.769354340438678
16-Jun-2009,0.7484708063021317
17-Jun-2009,0.736113685511276
18-Jun-2009,0.7757679405380516
19-Jun-2009,0.823181160373635
22-Jun-2009,0.9117686617350371
23-Jun-2009,0.8593813046402152
24-Jun-2009,0.9005697609783211
25-Jun-2009,0.9202334630350193
26-Jun-2009,0.9487215119510838
29-Jun-2009,1.0
30-Jun-2009,0.9557119205298015
01-Jul-2009,0.9219784768211922
02-Jul-2009,0.9504001103752762
03-Jul-2009,0.9421909492273732
06-Jul-2009,0.976407284768212
07-Jul-2009,0.9584713024282562
08-Jul-2009,0.8646523178807948
09-Jul-2009,0.8384381898454747
10-Jul-2009,0.824641280353201
13-Jul-2009,0.8423013245033113
14-Jul-2009,0.9210816777041945
15-Jul-2009,0.9648868653421636
16-Jul-2009,0.9626103752759383
17-Jul-2009,0.9657146799116999
20-Jul-2009,1.0
21-Jul-2009,0.9925209987343229
22-Jul-2009,0.9674951098837878
23-Jul-2009,0.9408583592221837
24-Jul-2009,0.9869980439535149
27-Jul-2009,0.9959505186664447
28-Jul-2009,0.9860630942091615
29-Jul-2009,0.9269662921348313
30-Jul-2009,0.9550021607605876
31-Jul-2009,1.0
03-Aug-2009,0.9996361935450342
04-Aug-2009,1.0
05-Aug-2009,0.9828055227634348
06-Aug-2009,1.0
07-Aug-2009,0.9592492221218509
10-Aug-2009,0.951219512195122
11-Aug-2009,0.9803272106795143
12-Aug-2009,0.9692863595302621
13-Aug-2009,0.9523737829970894
14-Aug-2009,0.9662752183077388
17-Aug-2009,0.9261768543611363
18-Aug-2009,0.8709224129278331
19-Aug-2009,0.8859781190404498
20-Aug-2009,0.8719261266686742
21-Aug-2009,0.8960152564488608
24-Aug-2009,0.9611562782294492
25-Aug-2009,0.9524741543711734
26-Aug-2009,1.0
