Date,MinMax_Feature
01-Jan-2016,0.10866096039460332
04-Jan-2016,0.09865080516465978
05-Jan-2016,0.06963586246917161
06-Jan-2016,0.07612795589728695
07-Jan-2016,0.03771942550413462
08-Jan-2016,0.007979109241259247
11-Jan-2016,0.017771652400986503
12-Jan-2016,0.0
13-Jan-2016,0.008249376908765399
14-Jan-2016,0.0
15-Jan-2016,0.02763189510177461
18-Jan-2016,0.025435073627844827
19-Jan-2016,0.01561757316493515
20-Jan-2016,0.012290351055883686
21-Jan-2016,0.01617597292724202
22-Jan-2016,0.01691292046526255
25-Jan-2016,0.09613329141779317
27-Jan-2016,0.10116315624017608
28-Jan-2016,0.13612071675573714
29-Jan-2016,0.15143036780886504
01-Feb-2016,0.20616158440741905
02-Feb-2016,0.19044325683747249
03-Feb-2016,0.1765482552656398
04-Feb-2016,0.183527192706696
05-Feb-2016,0.16158440741905056
08-Feb-2016,0.21496384784658912
09-Feb-2016,0.18918579063187677
10-Feb-2016,0.08984596038981456
11-Feb-2016,0.08984596038981456
12-Feb-2016,0.09921408362150276
15-Feb-2016,0.07243005344231389
16-Feb-2016,0.06607984910405525
17-Feb-2016,0.07670543854133918
18-Feb-2016,0.1841559258094939
19-Feb-2016,0.2187362464633763
22-Feb-2016,0.1967305878654511
23-Feb-2016,0.22816724300534422
24-Feb-2016,0.19968563344860096
25-Feb-2016,0.15957246149009752
26-Feb-2016,0.165293932725558
29-Feb-2016,0.14052184847532218
01-Mar-2016,0.17786859478151526
02-Mar-2016,0.18409305249921415
03-Mar-2016,0.19170072304306823
04-Mar-2016,0.2872367180132033
08-Mar-2016,0.3161898773970449
09-Mar-2016,0.2916692863879283
10-Mar-2016,0.3007859163784973
11-Mar-2016,0.26589122917321595
14-Mar-2016,0.28475322225715183
15-Mar-2016,0.29921408362150265
16-Mar-2016,0.22250864508016346
17-Mar-2016,0.25608299276956936
18-Mar-2016,0.22062244577176987
21-Mar-2016,0.25143036780886513
22-Mar-2016,0.26589122917321595
23-Mar-2016,0.19044325683747249
28-Mar-2016,0.17661112857591954
29-Mar-2016,0.17158126375353663
30-Mar-2016,0.13454888399874249
31-Mar-2016,0.16655139893115373
01-Apr-2016,0.16541967934611748
04-Apr-2016,0.15774913549198366
05-Apr-2016,0.15586293618359007
06-Apr-2016,0.15837786859478153
07-Apr-2016,0.15586293618359007
08-Apr-2016,0.1841559258094939
11-Apr-2016,0.17104684061615852
12-Apr-2016,0.1841559258094939
13-Apr-2016,0.215592580949387
18-Apr-2016,0.21810751336057843
20-Apr-2016,0.22565231059415278
21-Apr-2016,0.22753850990254637
22-Apr-2016,0.22684690348946876
25-Apr-2016,0.2523420308079219
26-Apr-2016,0.22628104369695062
27-Apr-2016,0.21546683432882752
28-Apr-2016,0.2343917007230431
29-Apr-2016,0.215592580949387
02-May-2016,0.2036152153410876
03-May-2016,0.15837786859478153
04-May-2016,0.1206538824269098
05-May-2016,0.11436655139893118
06-May-2016,0.10238918579063179
09-May-2016,0.05903803835271931
10-May-2016,0.06721156868909152
11-May-2016,0.09839673058786542
12-May-2016,0.07161270040867655
13-May-2016,0.08978308707953482
16-May-2016,0.10669600754479737
17-May-2016,0.16086136435083298
18-May-2016,0.16246463376296763
19-May-2016,0.18384155925809495
20-May-2016,0.17786859478151526
23-May-2016,0.165293932725558
24-May-2016,0.16843759823954732
25-May-2016,0.165293932725558
26-May-2016,0.19195221628418743
27-May-2016,0.20553285130462118
30-May-2016,0.22313737818296134
31-May-2016,0.2618359006601699
01-Jun-2016,0.2721785602011946
02-Jun-2016,0.26086136435083307
03-Jun-2016,0.270292360892801
06-Jun-2016,0.2510531279471865
07-Jun-2016,0.2408362150267212
08-Jun-2016,0.24640050298648222
09-Jun-2016,0.21477522791574966
10-Jun-2016,0.18745677459918264
13-Jun-2016,0.19610185476265327
14-Jun-2016,0.20804778371581265
15-Jun-2016,0.21244891543539768
16-Jun-2016,0.2072618673373153
17-Jun-2016,0.2036466519962276
20-Jun-2016,0.15649166928638794
21-Jun-2016,0.20238918579063186
22-Jun-2016,0.19610185476265327
23-Jun-2016,0.22084250235774908
24-Jun-2016,0.2218799119773656
27-Jun-2016,0.23571204023891856
28-Jun-2016,0.30361521534108765
29-Jun-2016,0.34071046840616154
30-Jun-2016,0.359069475007859
01-Jul-2016,0.4230745048726815
04-Jul-2016,0.5020433825840929
05-Jul-2016,0.4293618359006601
07-Jul-2016,0.44816095567431624
08-Jul-2016,0.49038038352719276
11-Jul-2016,0.5186419364979565
12-Jul-2016,0.5469349261238603
13-Jul-2016,0.5331027978623074
14-Jul-2016,0.5259981138006914
15-Jul-2016,0.5180132033951587
18-Jul-2016,0.5213140521848474
19-Jul-2016,0.5092109399559885
20-Jul-2016,0.5261867337315309
21-Jul-2016,0.5701980509273812
22-Jul-2016,0.5386356491669286
25-Jul-2016,0.5110971392643822
26-Jul-2016,0.4595410248349575
27-Jul-2016,0.16535680603583774
28-Jul-2016,0.14580320653882428
29-Jul-2016,0.13134234517447346
01-Aug-2016,0.12316881483810124
02-Aug-2016,0.14580320653882428
03-Aug-2016,0.13668657654825528
04-Aug-2016,0.12668972021376923
05-Aug-2016,0.14168500471549816
08-Aug-2016,0.1714555171329772
09-Aug-2016,0.17786859478151526
10-Aug-2016,0.17283872995913235
11-Aug-2016,0.14954416850047145
12-Aug-2016,0.1575605155611442
16-Aug-2016,0.15837786859478153
17-Aug-2016,0.14146494812951899
18-Aug-2016,0.17158126375353663
19-Aug-2016,0.17158126375353663
22-Aug-2016,0.1640364665199623
