Date,MinMax_Feature
01-Jan-2009,0.11246401310055205
02-Jan-2009,0.12567021473283857
05-Jan-2009,0.14180819312749268
06-Jan-2009,0.18377750191489928
07-Jan-2009,0.2049074245265577
09-Jan-2009,0.1512292971185384
12-Jan-2009,0.1973695280293895
13-Jan-2009,0.17549566729296953
14-Jan-2009,0.1530609383325388
15-Jan-2009,0.15193920188451726
16-Jan-2009,0.1498920328668779
19-Jan-2009,0.14748029950363162
20-Jan-2009,0.1281303457752601
21-Jan-2009,0.09080456546734349
22-Jan-2009,0.05661964721388711
23-Jan-2009,0.05210465801060045
27-Jan-2009,0.06332202249081582
28-Jan-2009,0.08575675145124657
29-Jan-2009,0.12501752713200037
30-Jan-2009,0.11940884489189268
02-Feb-2009,0.12235340306794922
03-Feb-2009,0.08014806921113889
04-Feb-2009,0.09136543369135425
05-Feb-2009,0.08923186091892857
06-Feb-2009,0.06928100641044942
09-Feb-2009,0.08478041932432026
10-Feb-2009,0.12872707296975622
11-Feb-2009,0.11774040955839724
12-Feb-2009,0.14337595751823487
13-Feb-2009,0.1549729911191138
16-Feb-2009,0.15037454342846535
17-Feb-2009,0.12251594131121159
18-Feb-2009,0.1158456639820192
19-Feb-2009,0.04863582443653623
20-Feb-2009,0.0548791908597116
24-Feb-2009,0.009427483298994902
25-Feb-2009,0.023662358743834728
26-Feb-2009,0.0
27-Feb-2009,0.0017593558968242403
02-Mar-2009,0.022633069926942025
03-Mar-2009,0.010645594155360151
04-Mar-2009,0.00029629629629629624
05-Mar-2009,0.0219341397071589
06-Mar-2009,0.0
09-Mar-2009,0.039567206699087795
12-Mar-2009,0.07122097205835802
13-Mar-2009,0.09136427728698454
16-Mar-2009,0.13165088774423755
17-Mar-2009,0.13165088774423755
18-Mar-2009,0.13165088774423755
19-Mar-2009,0.1207735029207792
20-Mar-2009,0.12664383758740752
23-Mar-2009,0.15754942303818595
24-Mar-2009,0.2294897988547092
25-Mar-2009,0.22718770682858044
26-Mar-2009,0.26114356421397944
27-Mar-2009,0.29279732957324967
30-Mar-2009,0.2294897988547092
31-Mar-2009,0.17769272826681246
01-Apr-2009,0.14949210094673532
02-Apr-2009,0.22661218382204826
06-Apr-2009,0.25832350148197164
08-Apr-2009,0.2864665765013956
09-Apr-2009,0.3273287099651808
13-Apr-2009,0.3244510949325199
15-Apr-2009,0.28991971454058874
16-Apr-2009,0.3653132283963051
17-Apr-2009,0.35092515323300044
20-Apr-2009,0.36761532042243383
21-Apr-2009,0.33020632499784175
22-Apr-2009,0.3531984691088026
23-Apr-2009,0.34171678512848547
24-Apr-2009,0.355817098788524
27-Apr-2009,0.3675577681217807
28-Apr-2009,0.37912578055307755
29-Apr-2009,0.31351615780840836
04-May-2009,0.3695737784374905
05-May-2009,0.49940928781315314
06-May-2009,0.4300384720244766
07-May-2009,0.37790433491866343
08-May-2009,0.3960800945139499
11-May-2009,0.3645754445487867
12-May-2009,0.3385235224622095
13-May-2009,0.4201326830450456
14-May-2009,0.43327981581896946
15-May-2009,0.447578080033928
18-May-2009,0.5746579964419362
19-May-2009,0.8280166860928778
20-May-2009,0.7519477332678978
21-May-2009,0.6815597075548334
22-May-2009,0.6226823745610869
25-May-2009,0.7055419151175026
26-May-2009,0.6613468958260259
27-May-2009,0.7006313574184496
28-May-2009,0.7150473518063839
29-May-2009,0.7350052613118204
01-Jun-2009,0.7504384426517011
02-Jun-2009,0.8402314977200982
03-Jun-2009,0.891687127323746
04-Jun-2009,0.8549631708172571
05-Jun-2009,0.9131883549631709
08-Jun-2009,0.8661873027008067
09-Jun-2009,0.7761487197474571
10-Jun-2009,0.9068747807786741
11-Jun-2009,0.8513854787793758
12-Jun-2009,0.8468958260259558
15-Jun-2009,0.7707821816906348
16-Jun-2009,0.7813048053314626
17-Jun-2009,0.8058575938267275
18-Jun-2009,0.7918274289722904
19-Jun-2009,0.7988425113995089
22-Jun-2009,0.8163802174675553
23-Jun-2009,0.7785689231848474
24-Jun-2009,0.8065591020694494
25-Jun-2009,0.8233952998947738
26-Jun-2009,0.8709575587513154
29-Jun-2009,0.9005612065941775
30-Jun-2009,0.8725008768853034
01-Jul-2009,0.8409330059628201
02-Jul-2009,0.8409330059628201
03-Jul-2009,0.8630655910206946
06-Jul-2009,0.9880491968920943
07-Jul-2009,0.8527577436326259
08-Jul-2009,0.8433155639176333
09-Jul-2009,0.8179157520643879
10-Jul-2009,0.8053726350998222
13-Jul-2009,0.6931814222500957
14-Jul-2009,0.7552001672415595
15-Jul-2009,0.8597261419462735
16-Jul-2009,0.9189575276122782
17-Jul-2009,0.8563464687641545
20-Jul-2009,0.9607679174941638
21-Jul-2009,0.9671788439427195
22-Jul-2009,0.9733110344587296
23-Jul-2009,0.8771471377303925
24-Jul-2009,0.9147764886240897
27-Jul-2009,0.9121633392564718
28-Jul-2009,0.8632103411030974
29-Jul-2009,0.8562419427894498
30-Jul-2009,0.8525835336747848
31-Jul-2009,0.9335911640709382
03-Aug-2009,0.9677363158078115
04-Aug-2009,0.9795825929410124
05-Aug-2009,0.936761785303648
06-Aug-2009,0.9238354064318315
07-Aug-2009,0.8733493606494548
10-Aug-2009,0.8841155360440401
11-Aug-2009,0.8247447824117626
12-Aug-2009,0.7986829727187206
13-Aug-2009,0.8004947562802689
14-Aug-2009,0.8520609038012612
17-Aug-2009,0.7921326783038918
18-Aug-2009,0.7583011044911325
19-Aug-2009,0.8144315529075641
20-Aug-2009,0.8527577436326259
21-Aug-2009,0.8669384342008988
24-Aug-2009,0.9266227657572905
